	Name	Purpose	Polarity	Subjectivity
103	Griffin Ltd	Horizontal zero-defect access for optimize 24/365 info-mediaries	0.0	0.0
68	Tate-Smith	Persevering methodical data-warehouse for utilize extensible schemas	0.0	0.0
66	Peck, Kelley and Gordon	Phased exuding service-desk for revolutionize user-centric architectures	0.0	0.0
133	Harris, Shields and Mason	Switchable eco-centric application for harness viral networks	0.0	0.0
34	Miller Ltd	Realigned bi-directional process improvement for extend integrated e-markets	0.0	0.0
32	Sanders Inc	Stand-alone bandwidth-monitored budgetary management for enhance intuitive e-services	0.0	0.0
31	Clark, Baker and White	User-friendly analyzing product for disintermediate end-to-end architectures	0.0	0.0
30	Kim LLC	Profit-focused dynamic knowledgebase for enhance cross-platform systems	0.0	0.16666666666666666
29	Cherry-Bentley	Universal high-level utilization for embrace frictionless mindshare	0.0	0.0
28	Ellis Group	Stand-alone grid-enabled encoding for expedite one-to-one networks	0.0	0.0
27	Bentley Inc	Synergistic asymmetric standardization for scale enterprise schemas	0.0	0.0
26	Roberts Group	Organized zero administration concept for re-contextualize back-end e-tailers	0.0	0.0
25	Smith, Soto and Simpson	Diverse intermediate Graphic Interface for synergize bricks-and-clicks communities	0.0	0.4
23	Melendez, Tyler and Hammond	Cross-group scalable customer loyalty for incentivize web-enabled action-items	0.0	0.0
22	Williams-Henderson	Profit-focused fresh-thinking open system for drive open-source content	0.0	0.5
20	Roberts Ltd	Synergistic methodical superstructure for syndicate B2B e-business	0.0	0.0
19	Mccoy, Miller and Schmidt	Upgradable hybrid knowledgebase for unleash frictionless web services	0.0	0.0
18	Olson-Zimmerman	Programmable modular customer loyalty for benchmark enterprise e-business	0.0	0.0
16	Pearson-Bass	Programmable asymmetric open system for deploy interactive users	0.0	0.5
15	Johnson-Gallagher	Synchronized grid-enabled project for empower visionary eyeballs	0.0	0.0
14	Garrett Inc	Multi-channeled modular Graphical User Interface for embrace killer convergence	0.0	0.0
12	Newman Ltd	Adaptive value-added framework for scale cross-platform bandwidth	0.0	0.0
10	Martinez-Glass	Inverse encompassing project for reinvent transparent applications	0.0	0.0
9	Hubbard LLC	Organic real-time customer loyalty for leverage cutting-edge e-markets	0.0	0.0
8	Ferrell-Caldwell	Horizontal mobile utilization for facilitate back-end models	0.0	0.0
6	Moore, Diaz and Stevens	Devolved empowering complexity for transition virtual metrics	0.0	0.0
5	Patterson-Stewart	Automated systematic hierarchy for iterate end-to-end models	0.0	0.0
4	Hughes and Sons	Customizable local productivity for optimize open-source e-services	0.0	0.0
3	Thompson Group	Synchronized responsive secured line for scale real-time vortals	0.0	0.0
2	Lopez, Camacho and Bonilla	Object-based asynchronous ability for innovate B2B mindshare	0.0	0.0
33	Tran Ltd	Public-key bottom-line firmware for evolve proactive methodologies	0.0	0.0
35	Diaz Inc	Switchable optimizing policy for reinvent wireless metrics	0.0	0.0
65	Arnold, Parker and Fischer	Automated value-added strategy for cultivate granular relationships	0.0	0.0
36	Winters, Daniels and Mathews	Optional homogeneous portal for harness 24/7 web-readiness	0.0	0.0
64	Wilson, Bryant and Morrison	Progressive executive hub for leverage front-end architectures	0.0	0.0
63	Robinson, Kelly and Gonzalez	User-centric 3rdgeneration contingency for facilitate mission-critical web-readiness	0.0	0.0
62	Fernandez LLC	Enhanced even-keeled encoding for utilize value-added applications	0.0	0.0
61	Bernard, Wolf and Nicholson	Cross-platform zero tolerance customer loyalty for innovate value-added e-markets	0.0	0.0
60	Tyler-Gill	De-engineered interactive function for architect 24/7 supply-chains	0.0	0.0
58	Wilson-Brown	Enterprise-wide analyzing architecture for disintermediate cross-media eyeballs	0.0	0.0
57	Chavez-Short	Progressive local database for seize e-business content	0.0	0.0
56	Sanders-Hernandez	Progressive local system engine for drive scalable technologies	0.0	0.0
55	Woods, Campbell and Ramos	Persistent systemic solution for embrace turn-key schemas	0.0	0.0
53	Kim, Schultz and Johnson	Visionary asymmetric frame for syndicate collaborative channels	0.0	0.0
52	Patel, Chapman and Chapman	Universal client-server customer loyalty for embrace distributed functionalities	0.0	0.0
51	Rivas, Young and Davis	Compatible 4thgeneration ability for transform next-generation e-tailers	0.0	0.0
50	West, Melendez and Edwards	Synergized heuristic algorithm for evolve plug-and-play networks	0.0	0.0
49	Gilmore and Sons	Function-based global secured line for implement robust interfaces	0.0	0.0
48	Oconnell-Watson	Proactive regional open system for streamline distributed users	0.0	0.5
47	Rivera-Browning	Focused asynchronous encryption for e-enable plug-and-play web services	0.0	0.0
46	Hernandez-Garcia	Multi-lateral dynamic focus group for facilitate mission-critical functionalities	0.0	0.16666666666666666
45	Hobbs Inc	Horizontal value-added protocol for engage mission-critical technologies	0.0	0.0
43	Williams PLC	Synchronized background service-desk for syndicate real-time e-markets	0.0	0.0
42	Rodriguez Ltd	Self-enabling encompassing orchestration for facilitate e-business functionalities	0.0	0.0
41	Collins, Mahoney and Taylor	Assimilated interactive synergy for evolve bricks-and-clicks architectures	0.0	0.0
40	Stein Group	Programmable clear-thinking strategy for re-intermediate collaborative e-markets	0.0	0.0
39	Hurst PLC	Grass-roots intermediate benchmark for unleash out-of-the-box relationships	0.0	0.0
38	Warner-Morris	Multi-channeled bandwidth-monitored portal for evolve out-of-the-box content	0.0	0.0
37	Taylor, Daniels and Taylor	Up-sized global conglomeration for harness strategic deliverables	0.0	0.0
132	Jones-Bailey	Compatible full-range collaboration for deploy collaborative supply-chains	0.0	0.0
128	Mann, Shaw and Hines	Cross-platform content-based frame for evolve e-business e-business	0.0	0.0
134	Jones, Anderson and Hamilton	Up-sized 6thgeneration website for utilize out-of-the-box mindshare	0.0	0.0
225	Goodwin PLC	Enhanced methodical info-mediaries for re-intermediate strategic web-readiness	0.0	0.0
221	Flores, Moore and Powell	Distributed radical structure for transition cross-media applications	0.0	0.0
220	Lopez-Russo	Future-proofed multimedia approach for scale revolutionary models	0.0	0.0
219	Sullivan and Sons	User-centric mobile architecture for grow next-generation systems	0.0	0.0
218	Olson, Murray and Johnson	Synergistic 3rdgeneration extranet for repurpose 24/365 communities	0.0	0.0
217	Smith PLC	Open-source grid-enabled contingency for target enterprise info-mediaries	0.0	0.0
215	Davis-Meyers	Public-key client-driven orchestration for engineer synergistic interfaces	0.0	0.0
214	Moore, Mcintyre and Campbell	Intuitive 24hour algorithm for drive out-of-the-box networks	0.0	0.0
213	Washington-Mccormick	Intuitive demand-driven project for deploy killer models	0.0	0.0
212	Williamson-Johnson	Versatile upward-trending task-force for disintermediate clicks-and-mortar e-markets	0.0	0.0
211	Vaughan, Calderon and Holland	Distributed maximized portal for cultivate cross-media convergence	0.0	0.0
210	Davidson Ltd	Object-based non-volatile protocol for deliver clicks-and-mortar e-services	0.0	0.0
209	Simpson and Sons	Ameliorated encompassing website for expedite proactive platforms	0.0	0.0
208	Roberts and Sons	Sharable 4thgeneration open system for transform cross-platform e-tailers	0.0	0.5
207	Jackson, Holden and Gonzalez	Intuitive eco-centric productivity for iterate dot-com action-items	0.0	0.0
206	Huerta and Sons	Intuitive discrete contingency for repurpose synergistic schemas	0.0	0.0
205	Roberts Ltd	Extended mission-critical intranet for matrix cross-media paradigms	0.0	0.0
204	Anderson, Stevens and Jensen	Pre-emptive high-level extranet for enhance value-added platforms	0.0	0.0
203	Cabrera, Levine and Underwood	Proactive analyzing Internet solution for engage web-enabled e-business	0.0	0.0
202	Harper-Boone	Open-source fault-tolerant knowledge user for embrace clicks-and-mortar e-services	0.0	0.0
201	Dunn LLC	Implemented mission-critical function for extend front-end niches	0.0	0.0
200	Bruce Group	Organized 3rdgeneration migration for deploy leading-edge portals	0.0	0.0
199	Burns Inc	Configurable analyzing paradigm for aggregate enterprise infrastructures	0.0	0.0
135	Jones PLC	Up-sized next generation help-desk for deliver intuitive convergence	0.0	0.0
197	Casey, Perez and Myers	Optimized intermediate policy for facilitate enterprise technologies	0.0	0.0
196	Murphy and Sons	Extended stable parallelism for drive back-end e-commerce	0.0	0.0
222	Gordon, Smith and Evans	User-friendly heuristic customer loyalty for implement bleeding-edge e-services	0.0	0.0
226	Spence PLC	Monitored client-server system engine for mesh 24/7 ROI	0.0	0.0
193	Shepard and Sons	Profit-focused homogeneous access for morph virtual methodologies	0.0	0.0
227	Doyle-Foley	Persistent maximized portal for morph 24/7 communities	0.0	0.0
255	Massey-Atkinson	Ameliorated systematic database for expedite value-added e-commerce	0.0	0.0
254	Cruz-Powell	De-engineered 5thgeneration database for morph proactive platforms	0.0	0.0
253	Smith, Richardson and Wright	Devolved homogeneous projection for embrace integrated e-commerce	0.0	0.0
252	Maldonado-Curtis	Switchable background customer loyalty for whiteboard impactful eyeballs	0.0	0.0
251	Walker Group	Self-enabling asynchronous encryption for embrace revolutionary functionalities	0.0	0.0
1	Martin, Hines and Clark	Customizable user-facing solution for harness scalable e-services	0.0	0.0
249	Jenkins, Perez and Carrillo	Automated empowering knowledge user for integrate frictionless communities	0.0	0.0
248	Wiggins-Wright	Intuitive incremental implementation for synergize dynamic functionalities	0.0	0.16666666666666666
247	Brown Group	Object-based maximized groupware for deliver bricks-and-clicks niches	0.0	0.0
246	Reynolds, Bell and Russell	Centralized clear-thinking portal for syndicate best-of-breed vortals	0.0	0.0
245	Patel Ltd	Profit-focused executive moderator for redefine magnetic deliverables	0.0	0.0
244	Coleman-Espinoza	Visionary human-resource capability for revolutionize turn-key interfaces	0.0	0.0
243	Logan, Thomas and Calhoun	Mandatory tangible intranet for productize global experiences	0.0	0.0
242	Burke, Prince and Sanders	Synergized national protocol for architect next-generation convergence	0.0	0.0
240	Hill, Robbins and Cruz	Virtual contextually-based info-mediaries for iterate 24/365 info-mediaries	0.0	0.0
239	Savage-Jones	Customer-focused even-keeled encryption for engage cross-platform e-markets	0.0	0.0
238	Davis Group	Open-architected eco-centric knowledgebase for integrate virtual communities	0.0	0.0
237	Juarez and Sons	Enterprise-wide non-volatile emulation for maximize robust vortals	0.0	0.0
235	White, Lewis and Chambers	Synergized web-enabled utilization for syndicate transparent partnerships	0.0	0.0
233	Powell-Hamilton	Enterprise-wide motivating circuit for reinvent proactive markets	0.0	0.0
232	Weeks-Glass	Synchronized 4thgeneration collaboration for envisioneer distributed metrics	0.0	0.0
231	Johnson Ltd	Customer-focused logistical complexity for synergize customized portals	0.0	0.0
230	Bauer Ltd	Cross-platform uniform archive for aggregate plug-and-play bandwidth	0.0	0.0
229	Brown-Ross	De-engineered systemic open system for engage distributed info-mediaries	0.0	0.5
228	Edwards Ltd	Reduced methodical hierarchy for target bricks-and-clicks e-markets	0.0	0.0
194	Campbell Inc	Phased clear-thinking firmware for redefine visionary infrastructures	0.0	0.0
499	Oliver, Clark and Robinson	Business-focused interactive workforce for envisioneer global portals	0.0	0.0
165	Jones-Flores	Reduced upward-trending portal for streamline collaborative e-commerce	0.0	0.0
161	Moore, Franklin and Mcgee	Networked leadingedge collaboration for repurpose visionary deliverables	0.0	0.0
171	Turner Group	Phased eco-centric open architecture for exploit one-to-one content	0.0	0.5
170	Cooper-Guerrero	Down-sized exuding hardware for syndicate proactive schemas	0.0	0.0
169	Graham LLC	Optimized encompassing toolset for generate scalable paradigms	0.0	0.0
168	Marshall Inc	Object-based cohesive circuit for matrix turn-key architectures	0.0	0.0
167	Solomon Ltd	User-friendly needs-based hub for drive real-time e-commerce	0.0	0.0
166	Carlson-Ramsey	Optimized leadingedge protocol for whiteboard plug-and-play networks	0.0	0.0
145	Dudley LLC	Inverse multi-state focus group for incubate holistic systems	0.0	0.0
163	Davis-Hernandez	Triple-buffered methodical synergy for re-intermediate back-end channels	0.0	0.0
162	Ross PLC	Reverse-engineered local alliance for re-contextualize holistic networks	0.0	0.0
160	Bowman-Romero	De-engineered maximized application for target one-to-one communities	0.0	0.0
151	Pugh, Lewis and Williams	Exclusive analyzing intranet for evolve global portals	0.0	0.0
146	Williams and Sons	Triple-buffered regional Graphic Interface for strategize ubiquitous communities	0.0	0.4
158	Spencer-Black	Realigned zero-defect ability for mesh end-to-end technologies	0.0	0.0
147	Morgan-Robbins	Organic methodical projection for transition robust synergies	0.0	0.0
157	Simmons and Sons	Visionary explicit model for cultivate value-added info-mediaries	0.0	0.0
155	Robles-Kerr	Configurable fresh-thinking Graphical User Interface for transform e-business models	0.0	0.0
154	Ali-Cain	Extended systematic knowledge user for re-contextualize real-time platforms	0.0	0.0
149	Hopkins-Wilson	Customer-focused global website for monetize out-of-the-box paradigms	0.0	0.0
153	Walton, Webb and Watkins	Front-line value-added circuit for architect synergistic models	0.0	0.0
152	Cole Inc	Synergized composite capacity for integrate value-added functionalities	0.0	0.0
172	Romero Group	Profit-focused asynchronous structure for monetize bleeding-edge users	0.0	0.0
144	Blair PLC	Business-focused optimal secured line for whiteboard proactive networks	0.0	0.0
143	Reese-Sullivan	Cross-platform motivating paradigm for productize collaborative convergence	0.0	0.0
174	Taylor Ltd	Reactive eco-centric solution for incentivize impactful bandwidth	0.0	0.0
191	Davis-Hernandez	Open-architected multi-tasking attitude for leverage B2B supply-chains	0.0	0.0
136	Flores-Butler	Distributed needs-based alliance for integrate leading-edge channels	0.0	0.0
190	Willis and Sons	Team-oriented holistic neural-net for productize killer partnerships	0.0	0.0
189	Vance, Patel and Winters	Synergized 4thgeneration instruction set for unleash cross-media systems	0.0	0.0
188	Butler Group	Face-to-face needs-based secured line for scale strategic users	0.0	0.0
137	Patterson, Gordon and Martinez	Assimilated local database for whiteboard user-centric e-business	0.0	0.0
187	Mcintyre Ltd	Realigned actuating data-warehouse for brand proactive communities	0.0	0.0
186	Reyes PLC	Customizable methodical migration for unleash best-of-breed convergence	0.0	0.0
138	Rose, Wilson and Conrad	Function-based clear-thinking matrices for reinvent real-time users	0.0	0.0
139	Thompson-Velasquez	Cross-group asymmetric ability for architect best-of-breed e-markets	0.0	0.0
184	Butler and Sons	Fundamental contextually-based challenge for embrace revolutionary systems	0.0	0.0
183	Delgado Group	Synergized full-range framework for exploit B2B web-readiness	0.0	0.0
182	Diaz-Ross	Configurable explicit customer loyalty for brand dynamic models	0.0	0.16666666666666666
140	Robinson-Hall	Optimized encompassing algorithm for transition next-generation mindshare	0.0	0.0
142	Palmer PLC	Integrated dedicated architecture for integrate leading-edge mindshare	0.0	0.0
180	Murillo, Johnson and Garrett	Polarized impactful open architecture for integrate plug-and-play e-tailers	0.0	0.5
179	Jones, Chaney and Santana	Optional composite info-mediaries for engineer dot-com e-tailers	0.0	0.0
178	Mendoza, Cooper and Davis	Assimilated needs-based concept for embrace dynamic supply-chains	0.0	0.16666666666666666
175	Anderson Group	Configurable intermediate info-mediaries for empower virtual models	0.0	0.0
150	Meadows, Vazquez and Martin	Re-contextualized value-added portal for iterate back-end bandwidth	0.0	0.0
11	Phillips Group	Innovative scalable artificial intelligence for orchestrate virtual models	-0.04999999999999999	1.0
85	Lambert-Phillips	Profound secondary toolset for generate synergistic applications	-0.10833333333333334	0.65
470	Walker LLC	active stable infrastructure for generate impactful systems	-0.13333333333333333	0.6
198	Hunter, Harris and Tyler	Expanded secondary open system for drive integrated platforms	-0.15	0.4
173	Grimes Inc	De-engineered secondary support for visualize robust architectures	-0.3	0.3
478	Francis Group	Expanded secondary pricing structure for transform one-to-one architectures	-0.3	0.3
316	Alexander-Moore	Grass-roots secondary benchmark for optimize user-centric deliverables	-0.3	0.3
398	Franklin, Flynn and Bell	Pre-emptive secondary projection for re-contextualize sticky e-markets	-0.3	0.3
322	Gregory, Dawson and Davila	Synergized secondary task-force for facilitate visionary web services	-0.3	0.3
241	Smith-Russo	Quality-focused didactic portal for evolve robust channels	-0.5	0.8
59	Craig, Weber and Wolfe	Down-sized didactic implementation for grow transparent e-services	-0.5	0.8
299	Patrick Ltd	Extended didactic workforce for matrix cross-media solutions	-0.5	0.8
274	Bates-Johnson	Distributed didactic portal for mesh integrated synergies	-0.5	0.8
13	Stevens-King	Reduced didactic interface for grow next-generation e-business	-0.5	0.8
95	Fleming Ltd	Compatible maximized artificial intelligence for orchestrate sticky ROI	-0.6	1.0
54	Johnson Ltd	Synchronized clear-thinking artificial intelligence for cultivate efficient interfaces	-0.6	1.0
181	Coffey, Barron and Morse	Front-line regional artificial intelligence for synthesize turn-key eyeballs	-0.6	1.0
185	Stevenson-Copeland	Future-proofed multi-state artificial intelligence for incentivize 24/365 platforms	-0.6	1.0
440	Campbell-Ross	User-friendly client-driven artificial intelligence for implement turn-key web-readiness	-0.6	1.0
396	Wright LLC	Triple-buffered 6thgeneration artificial intelligence for grow 24/7 vortals	-0.6	1.0
192	Marshall LLC	Monitored stable artificial intelligence for drive front-end schemas	-0.6	1.0
